r_A,gr_Nd1,ocf_Nd1,gr_Ne2,ocf_Ne2
2.549999999999999822e+00,1.505689192590033924e-03,6.237533191839853552e-01,1.672987991766704209e-04,-2.135624885559082031e-01
2.650000000000000355e+00,2.757436752751575570e-02,6.275027128920126485e-01,4.012225387430663065e-02,-4.615620494277205554e-01
2.750000000000000000e+00,1.801025766445535914e-01,6.547016240254687203e-01,3.806321228446395977e-01,-5.005093411966955452e-01
2.850000000000000533e+00,4.955600499042382978e-01,6.551895215281763329e-01,1.072686605319741693e+00,-5.056818386867506510e-01
2.950000000000000178e+00,6.384238151620645896e-01,6.499511235994831493e-01,1.307724991268916837e+00,-4.966293886252176604e-01
3.049999999999999822e+00,5.141003983602412397e-01,5.787018723052852476e-01,1.056618994355045471e+00,-4.764959060191421569e-01
3.150000000000000355e+00,3.784792248010064308e-01,4.518968567027152328e-01,7.303157926997403404e-01,-4.415812663239845337e-01
3.250000000000000000e+00,2.975605794675140747e-01,2.470553077118424201e-01,5.247736768386930262e-01,-3.872445718055340658e-01
3.350000000000000533e+00,2.693987172679681019e-01,1.186748289272923779e-01,4.048251325336577611e-01,-3.125707819551395428e-01
3.450000000000000178e+00,2.673536473793134416e-01,3.384447717004351874e-02,3.704561821635409813e-01,-2.564523969650546187e-01
3.549999999999999822e+00,2.613962100985119386e-01,-3.849089926223595720e-02,3.469456302463406749e-01,-2.123303032851179828e-01
3.650000000000000355e+00,2.655623369511785348e-01,-4.892339725144720375e-02,3.662506399834058457e-01,-1.497070136898972781e-01
3.750000000000000000e+00,2.648953433114890066e-01,-3.609203430990581135e-02,3.821022490115199011e-01,-1.285760959852271790e-01
3.850000000000000533e+00,2.645990208417428047e-01,-1.969696407463245383e-02,4.163856436158687724e-01,-8.257212220247399370e-02
3.950000000000000178e+00,2.788449965429496413e-01,-2.496350076581484514e-02,4.400577077225694689e-01,-7.706974179868668340e-02
4.050000000000000711e+00,2.834857583917496093e-01,-5.461687358095369989e-03,4.863830290797144795e-01,-6.376838987082554533e-02
4.150000000000000355e+00,3.041009084440485233e-01,6.500616574326802989e-03,5.191319621090965120e-01,-6.335261699261475477e-02
4.250000000000000000e+00,3.204971714758440005e-01,9.660903020490439405e-03,5.543799974184679957e-01,-4.399503653518724300e-02
4.349999999999999645e+00,3.420386375453962624e-01,7.506212552110474480e-03,5.933499309915094555e-01,-5.273360265906207323e-02
4.450000000000000178e+00,3.961191199068291868e-01,-8.348157566722777144e-04,6.109903928549025309e-01,-5.778906256093492566e-02
4.550000000000000711e+00,4.335007642715646980e-01,-3.715824152348958659e-02,6.234233927207627479e-01,-6.735401029935561557e-02
4.650000000000000355e+00,5.110597140768088353e-01,-9.269797069126840816e-02,6.316671901664131505e-01,-7.127567761415497249e-02
4.750000000000000000e+00,5.881853564556847047e-01,-1.447760189498146777e-01,6.189496012022600580e-01,-5.772174080624397491e-02
4.850000000000000533e+00,6.484984837484286668e-01,-1.984272353287117319e-01,6.089068210932219172e-01,-3.414419778634005670e-02
4.950000000000000178e+00,6.773542847217617346e-01,-2.257015808239339338e-01,6.200755546469618462e-01,1.658414493401952003e-02
5.050000000000000711e+00,6.685418545526332634e-01,-2.377825768113684957e-01,5.892775596283277295e-01,3.709233241606942760e-02
5.150000000000000355e+00,5.802346857489859566e-01,-2.035255467696276688e-01,5.229700960490507589e-01,1.802471151667636023e-02
5.250000000000000000e+00,4.968431806986177146e-01,-1.521215723292749511e-01,4.545678929788894984e-01,-2.812603559165794548e-02
5.350000000000000533e+00,4.414590780071578346e-01,-1.260144976950028362e-01,3.919308208482697453e-01,-7.667567444739976923e-02
5.450000000000000178e+00,4.092544856609857118e-01,-1.218033889237303546e-01,3.605014452586969842e-01,-1.172793645527080569e-01
5.550000000000000711e+00,3.851738484143609198e-01,-1.442941302259814207e-01,3.329696349383017284e-01,-1.366868039384251943e-01
5.650000000000000355e+00,3.541765015304140229e-01,-1.418952508596524054e-01,3.156642376034155539e-01,-1.263796625810340302e-01
5.750000000000000000e+00,3.415040584490402487e-01,-1.631654567995350358e-01,3.001405393248888220e-01,-1.289195902306591035e-01
5.850000000000000533e+00,3.185793290189849469e-01,-1.791888372882923242e-01,2.949584886376750981e-01,-1.230911108478951466e-01
5.950000000000000178e+00,3.019376310543225861e-01,-1.858899141908753605e-01,2.990488638971616209e-01,-1.153037977999135794e-01
6.050000000000000711e+00,2.948330002189361032e-01,-1.919056678105197089e-01,3.003022281693630280e-01,-9.691113238931321761e-02
6.150000000000000355e+00,2.865312394118526562e-01,-1.897734909502295786e-01,3.102626190438954601e-01,-8.607112323615237481e-02
6.250000000000000000e+00,2.828669652068471208e-01,-1.859271814683529367e-01,3.204952903343037951e-01,-8.687007016307024543e-02
6.350000000000000533e+00,2.747566143757370072e-01,-1.832858449419561553e-01,3.252397358033127794e-01,-7.505800701237866357e-02
6.450000000000000178e+00,2.743056767089631642e-01,-1.632541936002433747e-01,3.361545589109555254e-01,-7.413052754832125113e-02
6.550000000000000711e+00,2.684538844574869132e-01,-1.578302342938120162e-01,3.452926592455263233e-01,-6.670059474192564786e-02
6.650000000000000355e+00,2.682645008848983936e-01,-1.320988808127624980e-01,3.419732724046302130e-01,-6.283510358030941489e-02
6.750000000000000000e+00,2.702369094711326025e-01,-1.318878530057405185e-01,3.411332056821242409e-01,-5.643776786346346025e-02
6.850000000000000533e+00,2.754586553570340102e-01,-1.204774920123876936e-01,3.398482753845157855e-01,-4.709513245880757315e-02
6.950000000000000178e+00,2.716208048995000790e-01,-9.997187943267062116e-02,3.280217084129214422e-01,-5.775240141166663316e-02
7.050000000000000711e+00,2.775855312972363431e-01,-9.688517046146123690e-02,3.200737827165199834e-01,-4.535092621638651261e-02
7.150000000000000355e+00,2.811334312139642799e-01,-8.932533946665910385e-02,3.261871385477994045e-01,-6.522635490628503341e-02
7.250000000000000000e+00,2.882106033334287942e-01,-7.994825779941282240e-02,3.232330351662470735e-01,-6.304560662249328318e-02
7.350000000000000533e+00,2.895447759963974410e-01,-7.696408979229873992e-02,3.181629248933078302e-01,-6.784137044848756459e-02
7.450000000000000178e+00,2.953301156134801597e-01,-8.765359045875223409e-02,3.178533004561649444e-01,-7.319164917948751958e-02
7.550000000000000711e+00,3.057100821221684361e-01,-8.427229003926156592e-02,3.153488154350044814e-01,-7.121196452683477285e-02
7.650000000000000355e+00,3.122708937165997178e-01,-8.556863931651131905e-02,3.129773468904540334e-01,-7.931971444637977986e-02
7.750000000000000000e+00,3.226503156409268880e-01,-9.604444153376413829e-02,3.089197441578916958e-01,-7.885511311456902539e-02
7.850000000000000533e+00,3.274063291069241877e-01,-9.281387848521316375e-02,2.937899760752382683e-01,-8.139006560314346328e-02
7.950000000000000178e+00,3.281902422813986475e-01,-9.355636056111536758e-02,2.853266858544024620e-01,-7.262561858020621930e-02
